episode_id,direction,entry_signal_date,entry_execution_date,entry_price,entry_position_size,entry_reason,exit_signal_date,exit_execution_date,exit_price,exit_reason,holding_period,gross_return,cost,net_return
1,long,2016-01-29,2016-01-29,130.0399932861328,2.0,long_signal,2016-02-26,2016-02-26,124.66899871826172,max_holding_period,4,-0.07037655379424734,0.0,-0.07037655379424734
2,long,2016-09-30,2016-09-30,113.53500366210938,1.8385870546551422,long_signal,2016-10-28,2016-10-28,114.6439971923828,max_holding_period,4,0.018435913947003835,0.0,0.018435913947003835
3,long,2016-11-11,2016-11-11,116.35700225830078,2.0,long_signal,2016-11-25,2016-11-25,119.61900329589844,opposing_short_signal,2,0.05634200858223526,0.0,0.05634200858223526
4,short,2016-11-25,2016-11-25,119.61900329589844,1.8744325465624485,opposing_short_signal,2016-12-23,2016-12-23,122.67400360107422,max_holding_period,4,-0.04978977803182827,0.0,-0.04978977803182827
5,long,2017-02-17,2017-02-17,120.91600036621094,2.0,long_signal,2017-03-17,2017-03-17,122.09600067138672,max_holding_period,4,0.018332560748343107,0.0,0.018332560748343107
6,short,2017-09-29,2017-09-29,132.4969940185547,1.2128895501665258,short_signal,2017-10-27,2017-10-27,132.80299377441406,max_holding_period,4,-0.0027440604746608033,0.0,-0.0027440604746608033
7,short,2017-11-03,2017-11-03,132.91000366210938,1.0537102845915585,short_signal,2017-12-01,2017-12-01,133.91700744628906,max_holding_period,4,-0.005428632303337344,0.0,-0.005428632303337344
8,short,2017-12-08,2017-12-08,133.22999572753906,1.3598538407416858,short_signal,2018-01-05,2018-01-05,136.1219940185547,max_holding_period,4,-0.0248807176274487,0.0,-0.0248807176274487
9,short,2020-06-05,2020-06-05,123.73200225830078,1.1634069724854468,short_signal,2020-07-03,2020-07-03,120.79900360107422,max_holding_period,4,0.02739970744653175,0.0,0.02739970744653175
10,short,2021-04-23,2021-04-23,129.7239990234375,1.20503517802314,short_signal,2021-04-30,2021-04-30,132.05099487304688,simultaneous_signals,1,-0.021615983773260905,0.0,-0.021615983773260905
11,short,2021-05-07,2021-05-07,131.5399932861328,1.9440303612772158,short_signal,2021-06-04,2021-06-04,133.7530059814453,max_holding_period,4,-0.027918873874927308,0.0,-0.027918873874927308
12,long,2021-07-23,2021-07-23,129.66400146484375,2.0,long_signal,2021-08-20,2021-08-20,128.1699981689453,max_holding_period,4,-0.0230430726560793,0.0,-0.0230430726560793
13,long,2021-08-27,2021-08-27,129.32000732421875,2.0,long_signal,2021-09-24,2021-09-24,129.5189971923828,max_holding_period,4,0.00038751333642994545,0.0,0.00038751333642994545
14,short,2021-10-15,2021-10-15,131.93099975585938,1.5880688653338888,short_signal,2021-11-12,2021-11-12,130.55099487304688,max_holding_period,4,0.009430020356035573,0.0,0.009430020356035573
15,short,2022-02-04,2022-02-04,131.4530029296875,1.3333560201496129,short_signal,2022-03-04,2022-03-04,127.79399871826172,max_holding_period,4,0.03474058953296755,0.0,0.03474058953296755
